Location Code,Location,Vintage,Region,Wine Name,Grape/Blend,Quantity,Rating,Unit Purchase Price,Type,,
FB2,Pantry,2013,California,Serafina,Zinfandel,0,3, 20.00 ,Red,,
TR2,Rack,2016,France,Pierre le Grande,Syrah/Gamay,0,4,,Red,,
TR4,Rack,2015,Spain,Cesar de Burbia,Mencia,0,5, $18.57 ,Red,,16.15
TR4,Rack,2009,Spain,Vina Aljibes,Petit Verdot/Cabernet/Tempranillo,0,4,18,Red,,
TR5,Rack,2017,Italy,Due Amici,Montepulciano/Sangiovese,0,4,,Red,,
TL1,Bar,2017,Italy,Nanfre,Valpolicella Ripasso,0,4, $15.64 ,Red,,13.6
TR2,Rack,2016,France,Chateau Puyanche,Bordeaux,0,4, $16.62 ,Red,,14.45
TR3,Rack,2016,Argentina,Alta Vista,Cabernet,0,3.5,,Red,,
BB6,Pantry,2017,California,Trig Point,Merlot,0,4, $23.81 ,Red,,20.7
TR6,Rack,2015,Italy,Salvatore Molettieri Irpinia,Aglianico ,0,5, $24.44 ,Red,smoky sausage flavor,21.25
TR6,Rack,2017,Italy,Ritratto di Costa,Montepulciano,0,4,,Red,made me sneeze a lot,
TR2,Rack,2017,France,Arnaude Baillot Beaune,Pinot Noir,1,4, $49.00 ,Red,,
FWHITE,Pantry,2018,France,Chinon,Rose,1,3, $20.00 ,Rose,,
TR6,Rack,2017,Italy,Umberto Cesari Romagna Riserva,Sangiovese,1,5, $22.00 ,Red,,
TR4,Rack,2012,California,Southern Edge Patagonia,Pinot Noir,1,0,,Red,tasted like medicine,
TR2,Rack,2013,OR,Del Rio,Cabernet,1,,,Red,,
TR6,Rack,2018,Italy,Versante,Primitivo,1,5,,Red,Very smooth; delicious,
LABA,Crate,2013,France,Chateau de Lastours,Carignan/Syrah/Grenache,1,,,Red,,
TR1,Rack,2017,Spain,Carlos Serres Rose,Tempranillo,1,4, $12.00 ,Rose,,
TL4,Bar,2016,California,Bon Anno,Cabernet,1,3, $30.00 ,Red,,
TL3,Bar,2017,California,Brazin Old Vine,Zinfandel,1,3, $17.00 ,Red,,
TR6,Rack,2016,Italy,Fantinel,Refosco,1,4, $18.00 ,Red,,
TR4,Rack,2016,France,Chateau Vieux Tuquet,Bordeaux,1,, $17.00 ,Red,,
TR5,Rack,2018,Italy,Mastro,Aglianico ,1,5, $14.00 ,Red,smoky sausage flavor,
TR6,Rack,2017,Italy,San Michele Arepo,Corvina/Rondinella/Merlot,1,4, $14.00 ,Red,,
TR2,Rack,2016,Portugal,Tago,Touriga/Trincadeira/Tempranillo/Cabernet,1,, $12.00 ,Red,,
TR3,Rack,2016,Argentina,Anko,Malbec,1,4, $17.00 ,Red,,
